Tiempo[ms],Ax,Ay,Az,Gx,Gy,Gz,Clase
17752,-0.368,-3.837,9.133,1.018,-0.195,0.204,Clase 1
17856,-0.421,-4.192,9.049,1.514,0.133,0.669,Clase 1
17961,-0.313,-3.897,9.073,2.56,0.118,0.646,Clase 1
18066,-0.263,-3.828,8.939,1.583,0.057,0.249,Clase 1
18171,-0.478,-3.761,9.008,2.369,0.851,0.326,Clase 1
18276,0.724,-3.892,8.125,-23.18,0.881,-18.163,Clase 1
18381,-0.181,-3.751,9.125,-12.249,-0.027,1.135,Clase 1
18486,-0.428,-3.725,9.322,8.186,0.767,1.669,Clase 1
18591,-0.327,-3.904,9.092,-8.432,-1.21,-1.712,Clase 1
18696,-0.33,-3.852,9.035,1.858,0.011,0.02,Clase 1
18801,-0.327,-3.875,8.987,-4.356,-0.439,-1.018,Clase 1
18906,-0.303,-3.94,9.082,2.293,0.309,0.578,Clase 2
19010,-0.313,-3.969,8.917,-0.379,-0.088,0.036,Clase 2
19116,-0.227,-3.878,9.039,2.499,-0.073,0.234,Clase 2
19220,-1.5,-0.586,10.782,96.14,19.591,13.73,Clase 2
19325,-1.117,-3.169,17.089,-1.669,-107.508,-82.987,Clase 2
19431,-1.393,0.559,12.159,180.216,-250.813,-26.697,Clase 2
19535,-4.893,0.178,-5.513,-7.692,40.614,-57.445,Clase 2
19641,-6.181,6.867,19.145,-1.982,249.454,205.532,Clase 2
19746,-6.497,-0.916,0.147,44.736,-250.813,34.646,Clase 2
19851,-4.103,-0.73,7.066,-17.7,249.454,37.685,Clase 2
19956,-4.723,11.74,8.917,38.606,-250.813,-36.071,Clase 2
20062,-5.42,0.264,1.287,17.026,249.454,77.295,Clase 2
20166,-0.339,16.818,7.727,37.033,-250.813,-146.43,Clase 2
20272,-6.215,-2.039,-1.684,29.003,249.454,188.631,Clase 2
20377,-3.856,13.257,3.09,65.575,-250.813,-248.69,Clase 2
20482,-6.195,-2.075,1.969,-16.493,249.454,182.074,Clase 2
20587,-5.331,5.201,-4.648,-5.089,-250.813,-248.69,Clase 2
20692,-4.783,5.187,-9.501,-22.837,249.454,246.769,Clase 2
20797,-14.197,1.057,10.605,35.308,-250.813,-248.69,Clase 2
20902,6.705,17.969,-20.081,-57.799,206.927,108.685,Clase 2
21006,6.705,17.969,-20.081,-57.799,206.927,108.685,Clase 2
21111,0.259,-0.196,4.191,-18.471,56.881,-34.071,Clase 2
21217,0.29,-2.405,11.072,-95.158,32.347,25.982,Clase 2
21321,-3.667,-1.752,10.244,-88.898,-18.974,-41.659,Clase 2
21427,-0.72,-4.773,9.872,-90.257,-80.775,0.898,Clase 2
21532,-1.0,-3.564,9.765,-79.86,-14.401,-19.789,Clase 2
21637,-0.26,-4.591,8.663,-0.532,-0.439,-1.606,Clase 1
